Balls,TOP
Bunny FuFuu,SUP
C9,TEAM
Jensen,MID
Rush,JNG
Sneaky,ADC
Hai,SUP
aphromoo,SUP
CLG,TEAM
Darshan,TOP
Huhi,MID
Stixxay,ADC
Xmithie,JNG
Apollo,ADC
DIG,TEAM
Kirei,JNG
KiWiKiD,SUP
Shiphtur,MID
Smittyj,TOP
BillyBoss,TOP
Big,SUP
FOX,TEAM
Froggen,MID
Hard,JNG
Keith,ADC
kfo,TOP
Goldenglue,MID
Grigne,JNG
Solo,TOP
LOD,ADC
Stunt,SUP
Adrian,SUP
Huni,TOP
IMT,TEAM
Pobelter,MID
Reignover,JNG
WildTurtle,ADC
Altec,ADC
Cris,TOP
GBM,MID
KonKwon,SUP
NRG,TEAM
Shrimp,JNG
Impact,TOP
Moon,JNG
AlexIch,MID
Crumbz,JNG
Freeze,ADC
Remi,SUP
REN,TEAM
RF Legendary,TOP
Ohq,ADC
Hakuho,SUP
Flaresz,TOP
Seraph,TOP
beibei,JNG
Feng,TOP
Gate,SUP
Ken,SUP
Mash,ADC
TIP,TEAM
Pirean,MID
Procxin,JNG
Fenix,MID
IWDominate,JNG
Lourlo,TOP
Piglet,ADC
Smoothie,SUP
TL,TEAM
Dardoch,JNG
Matt,SUP
Bjergsen,MID
Doublelift,ADC
Hauntzer,TOP
Svenskeren,JNG
TSM,TEAM
Yellowstar,SUP
Steve,TOP
Gilius,JNG
Eika,MID
MrRalleZ,ADC
sprattel,SUP
Gamsu,TOP
Febiven,MID
Spirit,JNG
Rekkles,ADC
Noxiak,SUP
Klaj,SUP
Kikis,TOP
Trick,JNG
Perkz,MID
Emperor,ADC
Hybrid,SUP
Adryh,ADC
Atom,TOP
G0DFRED,SUP
k0u,JNG
xPePii,MID
BetongJocke,JNG
FORG1VENGRE,ADC
Jankos,JNG
Odoamne,TOP
Vander,SUP
Ryu,MID
Selfie,MID
sOAZ,TOP
Amazing,JNG
PowerOfEvil,MID
Zven,ADC
Mithy,SUP
Airwaks,JNG
fredy122,TOP
Betsy,MID
Safir,ADC
Edward,SUP
extinkt,SUP
Tabzz,ADC
Trashy,JNG
Sencux,MID
Kobbe,ADC
Nisbeth,SUP
Wunderwear,TOP
Diamondprox,JNG
Vizicsacsi,TOP
Fox,TEAM
Steeelback,ADC
Hylissang,SUP
Djoko,JNG
Rudy,JNG
loulex,JNG
Cabochard,TOP
Hjarnan,ADC
KaSing,SUP
Shook,JNG
Nukeduck,MID
ikssu,TOP
LirA,JNG
Mickey,MID
Sangyoon,ADC
SnowFlower,SUP
Bdd,MID
Bubbling,JNG
Kramer,ADC
MadLife,SUP
Sky,MID
Untara,TOP
Crush,JNG
Edge,MID
GuGer,SUP
Hipo,TOP
Roach,TOP
SSol,ADC
Chei,SUP
Kuzan,MID
Pilot,ADC
SoHwan,TOP
TrAce,TOP
Winged,JNG
Arrow,ADC
Fly,MID
Hachani,SUP
IgNar,SUP
Score,JNG
Ssumday,TOP
Chaser,JNG
Coco,MID
Cpt Jack,ADC
Crash,JNG
Expession,TOP
Flame,TOP
Frozen,MID
Fury,ADC
Pure,SUP
Zzus,SUP
GorillA,SUP
Kuro,MID
Peanut,JNG
PraY,ADC
Smeb,TOP
Bang,ADC
Bengi,JNG
Blank,JNG
Duke,TOP
Faker,MID
Scout,MID
Wolf,SUP
Flawless,JNG
Nuclear,ADC
SaSin,MID
Secret,SUP
SoaR,TOP
Soul,TOP
CoreJJ,ADC
Crown,MID
CuVee,TOP
Stitch,ADC
Wraith,SUP
Ambition,JNG
CJ,TEAM
SKT,TEAM
AFs,TEAM
kt,TEAM
EMF,TEAM
SSG,TEAM
JAG,TEAM
LZ,TEAM
SSB,TEAM
ROX,TEAM
KDM,TEAM
Big ol Ron,TOP
Moon,JNG
Police,ADC
Keane,MID
Cris,TOP
Eve,JNG
Xpecial,SUP
Shrimp,JNG
Chorong,TOP
Shernfire,JNG
Pekin Woof,MID
DoubleG,ADC
Papa Chau,SUP
TM8,ADC
Hakuho,SUP
Biofrost,SUP
Contractz,JNG
LOD,ADC
Solo,TOP
Westrice,SUP
Goldenglue,MID
Stunt,SUP
i KeNNy u,TOP
Obvious,JNG
Otter,ADC
Trance,SUP
Wolfe,MID
Seraph,TOP
Bischu,SUP
Kez,JNG
do it,MID
Ohq,ADC
Thy,MID
Crumbz,JNG
Zig,TOP
IWDominate,JNG
Youngbin,MID
Fabbbyyy,ADC
Smoothie,SUP
Zary,JNG
Akaadian,JNG
APX,TEAM
DT,TEAM
MBR,TEAM
NME,TEAM
TDK,TEAM
TLA,TEAM
Wisdom,JNG
Hustlin,SUP
SONSTAR,ADC
